categoria,tempo_preparo,rendimento,ingredientes
doces-e-sobremesas,50MIN,8 porções,1 lata de leite condensado 2 latas de leite liquido use a lata de leite condensado como medida 4 ovos 1 lata de creme de leite 5 colheres sopa de acucar
bolos-e-tortas-doces,10MIN,6 porções,2 xicaras de farinha de trigo peneirada com 1 tampinha de fermento 1 xicara cha de oleo 2 xicara de acucar 3 cenouras medias 3 ovos 1 colher e  1/2 sopa de margarina 2 colheres sopa de acucar 3 colheres sopa de leite chocolate amargo em po a gosto
carnes,120MIN,8 porções,1 kg de linguica de sua preferencia 4 batatas grandes 4 cebolas medias fatias de bacon 2 colheres sopa de margarina ou manteiga
aves,40MIN,7 porções,1 kg de peito de frango sem osso 1 lata de creme de leite sem soro 1 tablete de caldo de galinha oregano 3 colheres sopa de oleo sal a gosto
peixes-e-frutos-do-mar,25MIN,4 porções,6 files de peixe ja temperados de sua preferencia 1 lata de molho de tomate 1 copo de requeijao 1 vidro de leite de coco
massas,50MIN,10 porções,1 e 1/2 kg de peito de frango 3 colheres sopa de oleo de soja 1 cebola grande picadinha 3 tomates sem sementes e picados em cubos 3 dentes de alho amassados 3 colheres sopa de extrato de tomate 1 lata de milho verde escorrida 200 g 2 cubos de caldo de galinha cheiro-verde sal e pimenta-do-reino a gosto 1 lata de creme de leite 2 latas de leite use a lata de creme de leite como medida 2 colheres sopa de maisena 2 colheres sopa de margarina 1 tablete de caldo de legumes 100 g de parmesao ralado noz-moscada a gosto 500 g de macarrao tipo fusilli cozido um pouco antes de estar al dente 300 g de mussarela ralada grossa misturada com 50 g de parmesao ralado
doces-e-sobremesas,40MIN,0 porções,1 lata de leite condensado 1 lata de leite de vaca 3 gemas 1 pacote de coco ralado 1 colher sopa de maizena 2 copos de leite de vaca 2 colheres sopa de chocolate em po 2 colheres sopa de maizena acucar a gosto mais ou menos 5 colheres 3 claras em neve 5 colheres de acucar 1 lata de creme de leite sem soro
bolos-e-tortas-doces,60MIN,8 porções,massa 3 ovos 3 colheres de margarina 1 xicara de acucar 2 xicaras de farinha de trigo peneirada 1/2 xicara de leite 1/2 colher de canela em po 1 colher sopa de fermento em po cobertura doce de leite acucar canela em po
carnes,5MIN,0 porções,1 kg de carne moida de sua preferencia 1 ovo inteiro 1 pacote de creme de cebola daqueles instantaneos sal a gosto
aves,45MIN,20 porções,1 peito de frango cozido com 1 tablete de caldo de galinha 2 kg de batatas cozidas em 2 litros de agua e sal a gosto 200 g de mussarela 1 molho de tomate pronto 1 colher sopa de margarina 1 caixa de creme de leite 1/2 pimentao vermelho 1 dente de alho 1 cebola salsinha a gosto azeitonas picadas a gosto sal e pimenta a gosto
peixes-e-frutos-do-mar,90MIN,20 porções,1 cebola grande picada 3 dentes grandes de alho amassados 2 copos tipo americano de vinagre de alcool branco 1 copo tipo americano de oleo de soja canola ou girassol 1 colher sopa de sal 1 colher sopa de extrato de tomate opcional 1 colher sopa-rasa colorau opcional ervas finas ou oregano 2 kg de sardinhas frescas com espinhos sem escamas sem cabeca e sem rabo
massas,50MIN,6 porções,1 colher sopa oleo 300 g de carne moida 1 copo de extrato de tomate agua fervente e sal a gosto 1 xicara e meia cha leite 3 xicaras cha de farinha de trigo 3 ovos 1 tablete de caldo de legumes cebolinha a gosto 400g de mussarela 400g de presunto parmesao ralado
doces-e-sobremesas,50MIN,50 porções,1 lata de leite moca 150g de coco ralado 2colheres de margarina  sem sal acucar granulado
bolos-e-tortas-doces,15MIN,8 porções,1 lata de leite condensado 4 colheres de chocolate em po 1 colher de margarina 1 caixa de bis sorvete
carnes,60MIN,15 porções,massa 2 copos de leite 1/2 copo de oleo 3 ovos 2 xicaras de farinha de trigo 1 colher sopa de fermento em po sal a gosto recheio 1/2 kg de carne moida 1 cebola pequena 1 tomate 1 calabresa pequena picada 1 lata de ervilha azeitonas sem caroco cheiro-verde oregano pimenta queijo ralado margarina ou manteiga para untar
aves,45MIN,4 porções,300 g de espaguete integral fininho  pode utilizar o normal 1 colher bem cheia de margarina light sem sal 1 dente de alho picado bem miudinho 1 cebola media picada 2 abobrinhas pequenas picadas 7 azeitonas picadas 1 cenoura pequena ralada 600 g de carne de sobrecoxa de frango cortada em cubinhos 2 cubinhos de caldo de frango 1 colher sopa de colorau 7 tomates medios picados se desejar tire a pele pimenta-do-reino a gosto louro em po a gosto 1 colher cha de oregano 250 ml de agua
peixes-e-frutos-do-mar,30MIN,8 porções,1 kg de file de sardinha fresca 8 tomates maduros sem pele e sem semente picados em cubos grandes 1 pimentao verde cortado em tiras 2 cebolas cortadas em aneis 3 dentes de alho amassados 1/2 xicara de azeite limao salsa picadinha sal
massas,40MIN,4 porções,1/2 kg de spagueti 1 lata de atum 1 cebola 4 dentes de alho 3 colheres de sopa de maionese 1 lata de creme de leite ou 1 copo de leite 1 colher de cha de extrato de tomate 2 colheres de margarina sal e pimenta a gosto
doces-e-sobremesas,30MIN,16 porções,1 pacote de gelatina sabor morango 1 pacote de gelatina sabor uva 1 pacote de gelatina sabor limao 1 pacote de gelatina sabor abacaxi 1 pacote de gelatina sabor framboesa 1 envelope de gelatina em po sem sabor 1 lata de leite condensado 1 lata de creme de leite com soro
bolos-e-tortas-doces,50MIN,8 porções,2 xicaras cha de farinha de trigo 2 xicaras cha de acucar 1/2 xicara cha de margarina 3 ovos 1 pitada de sal 1 xicara de leite 1 colher sopa de fermento quimico 3 colheres de chocolate
carnes,25MIN,4 porções,2 colheres de sopa de oleo 300 g de carne de primeira moida 1 cubo de caldo de legumes 5 batatas medias cortadas em cubos 3 tomates maduros picados 2 colheres sopa de cebola granulada 1 colher cafe de alho granulado pimenta do reino salsinha picada
aves,40MIN,4 porções,1 frango de bom tamanho ou entao 5 coxas e 5 sobre coxas oleo sal 6 dentes de alho espremidos 1 cebola ralada pimenta-do-reino pimenta calabresa curtida vinagre ou limao para temperar salsinha em ramos manjericao pequeno manjerona em ramos 4 a 5 batatas grandes descascadas e cortadas em rodelas grossas 1 tomate sem pele nem semente esmagado opcional
peixes-e-frutos-do-mar,50MIN,10 porções,300 g peixe pintado/tambaqui ou cabecas que sobram 250 g farinha de mandioca 2 tomates maduros picados 2 cebolas picadas 1/2 pimentao picado 3 tabletes de caldo de camarao 2 colheres de sopa de colorau 1 pimenta de cheiro picada 1 pimenta malagueta picada opcional pimenta-do-reino a gosto sal a gosto 6 colheres de sopa de azeite de dende ou azeite de oliva 2 litros de agua cheiro verde
massas,40MIN,10 porções,1 xicara de trigo 2 ovos 1 xicara de leite 2 colher de queijo ralado
doces-e-sobremesas,30MIN,6 porções,bananas nanicas maduras e bem firmes a quantidade que desejar ovos batidos farinha de trigo farinha de rosca oleo de milho para fritar
bolos-e-tortas-doces,50MIN,15 porções,bolo 3 ovos 1 xicara de oleo de soja 2 cenouras bem grandes ou 3 se forem medias 2 xicaras de farinha de trigo 2 xicaras de acucar 1 colher sopa de fermento em po cobertura  4 colheres cheias de acucar 2 colheres cheias de chocolate em po 1 colher de manteiga um pouquinho de leite apenas para desmanchar
carnes,60MIN,8 porções,1/2 kg de patinho moido 1/2 pacote de creme de cebola 3 dentes de alho picadinho cheiro verde a gosto picado sal a gosto 100 g de mussarela 100 g de presunto oleo para untar a forma
aves,45MIN,6 porções,6 coxas de frango 1/2 kg de batata alho ervas de tempero coentro salsa cebolinha louro etc maionese
peixes-e-frutos-do-mar,120MIN,6 porções,1 kg de file se salmao 1/2 pimentao verde 1/2 pimentao vermelho 1 cebola grande 4 tomates maduros sem pele e sem sementes 2 copos de requeijao batatas cortadas em rodelas finas 3 a 5 mm queijo mussarela fatiado alecrim manjericao ou alfavaca coentro alcaparras oregano azeite sal e pimenta opcional
massas,15MIN,5 porções,1 kg de farinha de trigo 30 g de fermento biologico 3 xicaras de agua morna 3/4 xicaras de oleo 1 colher cha de sal 1 colher cha de acucar 1 colher sopa de pinga 
doces-e-sobremesas,30MIN,12 porções,1 copo de 350g de nutella 1 pacote de biscoito maisena 1 pote de sorvete ao gosto pessoal [no caso desta receita flocos] 170g de chocolate meio amargo 170ml de creme de leite
bolos-e-tortas-doces,40MIN,12 porções,4 colheres de sopa de margarina 1 e 1/2 copo de acucar 4 ovos claras em neve 2 copos de farinha de trigo 1 copo de leite 100 g de chocolate granulado dr oetker 100 g de coco ralado dr oetker 1 colher sopa de fermento em po dr oetker
carnes,90MIN,7 porções,1 kg de file mignon cortado em medalhoes 1 colher sobremesa de alho moido 3 colheres sopa de mostarda de dijon sal e pimenta a gosto 1 cubo de caldo de legumes 1 pote de creme de leite fresco 1 colher sobremesa de manteiga 1 colher sobremesa de azeite
aves,35MIN,16 porções,2 dentes de alho 1 cebola media 3 tomates bem vermelhos sem casca e sementes pedacos de frango a gosto coxas peito 1 pacote de creme de cebola ou de queijo cebolinha a gosto sal pimenta suco de 2 limoes chicoria couve-flor ou brocolis 1 lata de molho de tomate arroz cru ou cozido
peixes-e-frutos-do-mar,60MIN,4 porções,1 kg de camaroes sal pimenta limao cheiro verde ao seu gosto 1 kg de tomates sem pele e sem sementes 2 colheres de sopa de oleo de soja 2 ou 3 colheres de sopa de azeite de dende leite de coco
massas,40MIN,2 porções,1 kg de farinha de trigo 2 copos de leite morno 1 copo de oleo 1 colher sopa de fermento sal a gosto 250 g de presunto 250 g de mussarela molho de tomate requeijao oregano
doces-e-sobremesas,90MIN,10 porções,3 xicaras de cha de leite 4 ovos 2 colheres de sopa de margarina 2 xicaras de cha de acucar 1 xicara de cha de farinha de trigo 50 g de queijo ralado 50 g de coco ralado 2 xicaras de cha de acucar
bolos-e-tortas-doces,50MIN,10 porções,3 macas grandes 3 ovos 2 xicaras de acucar 2 xicaras de farinha de trigo 1 colher sopa de fermento em po 1 colher sopa de canela em po 1 xicara cha de oleo
carnes,50MIN,4 porções,600 g de contra file 100 ml de cerveja 2 dentes de alho 1 cebola pequena 3 colheres de extrato ou molho de tomate 1 colher de cha de pimenta do reino moida 3 pimentas doce 3 colheres de azeite de oliva sal a gosto
aves,20MIN,4 porções,500 g de peito de frango seara cortados em cubo 1 lata de molho de tomate 1 lata de creme de leite 3 dentes de alho 1 colher de oleo sal a gosto
peixes-e-frutos-do-mar,45MIN,6 porções,1 kg de cacao em postas suco de 1 limao 3 envelopes de tempero pronto 2 e 1/2 colheres de sal 1 colher sopa de azeite de oliva 2 dentes de alho espremidos 1 cebola media picada 1 xicara de polpa de tomate 1 xicara de agua 1 pitada de acucar
massas,45MIN,4 porções,1 peito de frango 500 g de queijo mucarela fatiado 400 g de presunto fatiado 1 pacote medio de massa para lasanha direto ao forno sem cozimento previo 1 pote de requeijao cremoso 2 caldos de galinha ou tempero completo sabor galinha 2 copos de leite 1 caixa de creme de leite 2 colheres de farinha 3 colheres de manteiga 1 cebola media
doces-e-sobremesas,15MIN,22 porções,2 cenouras pequenas ou 2 grandes 4 ovos 1 pitada de sal  3/4 xicara de oleo 2 xicaras de farinha de trigo 2 xicaras de acucar 1 colher sopa de fermento em po 1 lata de leite condensado 3 colheres sopa de chocolate em po 1 colher sopa de manteiga 100 g de chocolate granulado
bolos-e-tortas-doces,30MIN,25 porções,3 xicaras de farinha de trigo 2 xicaras de acucar 1 xicara de oleo 3 cenouras grandes aproximadamente 750g 5 ovos 1 colher sopa de fermento em po 1 pitada de sal
carnes,80MIN,6 porções,1 kg de costela bovina 500 g de mandioca cozida sem o fio do centro alho cebola e sal a gosto cheiro verde
aves,60MIN,8 porções,1 kg de camarao limpo sal e pimenta a gosto 1 limao azeite 1 cebola grande ralada alho picado 3 tomates sem pele picados salsinha e cebolinha 1 lata de pomarola 1 lata de creme de leite 1 lata de milho queijo ralado a gosto 2 copos de requeijao 250 g de queijo mussarela picada batata palha
peixes-e-frutos-do-mar,150MIN,6 porções,1 kg de bacalhau 1/2 kg de batata 1/2 kg de cenoura 2 cebolas grandes 2 tomates vermelho e/ou amarelo 1 pimentao 1 colher sopa de extrato de tomate leite de coco alho sal coentro e azeite de oliva a gosto azeitonas 2 copos de leite 1 colher sopa de amido de milho 1 colher sopa de manteiga 1 ovo 1/2 xicara de creme de leite noz-moscada pimenta-do-reino e sal
massas,120MIN,2 porções,pao adocicado 1 kg de farinha de trigo sem fermento reserve 1 xicara ou 120 g so use-a se for necessario 400 ml de leite morno 2 ovos remova a pelicula ou pele da gema 45 g de fermento biologico fresco ou 3 tabletes de 15 g cada em temperatura ambiente dica voce pode substituir o fermento biologico fresco por 15 g de fermento seco para paes - nao use fermento para bolos 100 ml de oleo 1 xicara de acucar 200 g 1/2 colher sopa de sal dica se preferir pao salgado leia as informacoes adicionais ao final da receita
doces-e-sobremesas,30MIN,1 porção,1 lata de leite condensado 2 vezes a medida da lata de leite de vaca 2 gemas 1 colher sopa de maisena 5 colheres sopa de chocolate po
bolos-e-tortas-doces,50MIN,30 porções,massa 2 tabletes de fermento para pao 5 colheres sopa de acucar 2 xicaras cha de leite morno 3 ovos 1 colher sopa de margarina 1/4 xicara cha de oleo 1 kg de farinha de trigo recheio 5 colheres sopa de margarina 1 xicaras cha de acucar 1 pacote 100 g de coco ralado calda 2 xicaras cha de leite 1 xicara cha de acucar
carnes,30MIN,8 porções,1 kg de carne moida 1 pacote de creme de cebola 1 cebola 150 g de mussarela 150 g de presunto 3 fatias de bacon alho a gosto
aves,40MIN,4 porções,1/2 kg de file de frango 1 dente de alho picadinho suco de limao ervas finas e sal a gosto oleo para fritar empanar 2 ovos batidos com 1 pitada de sal 2 xicaras cha de farinha de rosca molho 1 cebola picadinha 2 tomates maduros picadinhos 1 caixinha de molho de tomate pronto 1/2 xicara cha de agua 3 colheres sopa de azeite 1 tabletinho de caldo de galinha manjericao ou oregano a gosto finalizar 250 g de mussarela em fatias
peixes-e-frutos-do-mar,30MIN,4 porções,4 batatas medias cozidas com sal e fatiadas 500 g de sardinha abertas temperadas com pimenta-do-reino limao e sal 1 cebola media fatiada 3 tomates picados oregano 1/2 xicara de cheiro verde picados 4 colheres azeite
massas,30MIN,40 porções,1 xicara cha de leite 1/2 xicara cha de oleo 2 xicaras cha de polvilho doce 2 ovos 1 xicara cha de queijo parmesao ralado sal a gosto oleo para untar
doces-e-sobremesas,30MIN,8 porções,1 lata de leite condensado 2 caixas de creme leite 1/2 xicara leite morno 1 sache de gelatina sem sabor 10 colheres de acucar
bolos-e-tortas-doces,40MIN,13 porções,3 ovos 1 pacote de queijo ralado tipo parmessao 1 lata de milho verde 1 lata a mesma lata do milho de acucar 1 lata de fuba 1 lata de leite 1/2 lata de oleo 1 colher sopa de fermento
carnes,60MIN,15 porções,1 kg de carne moida musculo patinho 1 pacote de creme de cebola 1 ovo 1 colher de sobremesa de pimenta-do-reino opcional 4 dentes de alho amassados 4 colheres de sopa de farinha de rosca ou trigo 2 colheres de sopa de oleo ou azeite 2 colheres de queijo ralado parmesao de pacotinho cheiro verde a gosto cebolinha verde cebola branca salsinha bacon aproximadamente 500 g queijo mussarela opcional
aves,70MIN,6 porções,1 cebola media picada 4 dentes de alho picado 1 colher rasa cafe de aipo em po 1 colher de sopa de manteiga 2 colheres de sopa de azeite de oliva 2 xicaras de cha de arroz arboreo 2 xicaras de cha de vinho branco seco 1 lata de molho de tomate pronto nao confundir com massa de tomate pimenta-do-reino a gosto sal a gosto se achar necessario 10 azeitonas verdes picadas 1 e 1/2 litro de agua 2 cubos de caldo de galinha 600g de coxa de frango desossada
peixes-e-frutos-do-mar,60MIN,6 porções,1 kg de file de peixe 4 batatas cortadas em rodelas finas 2 cenouras em rodelas finas 1 cebola em rodelas 1 tomate em rodelas 1 dente de alho fatiado coentro a gosto sal pimenta do reino e alecrim a gosto suco de um limao 2 colheres de de sopa de vinho branco 8 colheres de sopa de azeite 1/2 xicara de molho de tomate
massas,40MIN,6 porções,500 g de macarrao caracolinho cozido e escorrido 300 g de bacon cortado em cubinhos 3 tomates cortados e sem semente 1 cebola grande picada salsinha a gosto 3 colheres sopa de maionese 2 dentes de alho picados 2 colheres sopa de azeite 350 g de mussarela ralada ou picada 50 g de queijo ralado
doces-e-sobremesas,15MIN,10 porções,1 pacote de bolacha de maisena de 200g 1 lata de leite condensado 1 lata de creme de leite 1/2 copo de suco de limao puro raspas de limao
bolos-e-tortas-doces,180MIN,25 porções,3 xicaras de farinha de trigo 1 xicara de chocolate em po 2 xicaras de acucar 1 xicara de oleo 2 ovos levemente batido 1 colher cha de bicarbonato 1 colher cha de fermento 1 xicara de agua fervida 1 xicara de leite fervido 1 lata de leite condensado 1 vidro de leite de coco 1 lata de leite 2 gemas 2 colheres maizena 1 colher de margarina 100 g coco 1 lata de leite condensado 1/2 lata de leite 4 colheres de chocolate em po 1 colher de margarina leite para molhar o bolo
carnes,40MIN,6 porções,1/2 kg de bife patinho alcatra ou mignon 3 ovos batidos farinha de rosca a gosto farinha de trigo a gosto 3 dentes de alho amassados opcional sal a gosto pimenta do reino-a-gosto
aves,60MIN,6 porções,1 kg de sobrecoxas pode ser usado o frango inteiro 1 pacote de creme de cebola ou sopa de cebola azeite extra virgem sal opcional caso queira mais salgado
peixes-e-frutos-do-mar,30MIN,4 porções,1 kg de peixe cacao em postas 1 pimentao verde em rodelas 1 pimentao vermelho em rodelas 1 pimentao amarelo em rodelas 1 tomate em rodelas 1 cebola em rodelas 1 fio de azeite de oliva molho shoyu vinagre ou limao acafrao sal pimenta-do-reino 1 maco de coentro ou cheiro verde e cebolinha 1 tablete de caldo de peixe ou camarao ou frango 1 vidro pequeno que leite de coco 200 ml
massas,25MIN,2 porções,3 xicaras cha de polvilho doce 100g de queijo ralado 3 ovos 1/2 xicara cha de oleo 1 xicara cha de leite 1 colher cha de fermento em po sal a gosto
doces-e-sobremesas,30MIN,12 porções,1 lata de leite condensado 2 colheres de maisena 500 ml de leite 4 ovos 1 lata de creme de leite 3 colheres de chocolate em po 100 ml de leite
bolos-e-tortas-doces,170MIN,20 porções,3 ovos claras separadas 2 colheres sopa de margarina 2 xicaras de acucar 1 xicara de leite 2 xicaras de farinha de trigo 1 colher de fermento em po 1 lata de leite condensado a mesma medida da lata de leite 1 vidro de leite de coco 1 pacote de 100 g de coco ralado para polvilhar
carnes,30MIN,2 porções,1 kg de barriga panceta sal e pimenta a gosto 1 xicara de farinha de trigo 1/2 limao 1/2 litro de oleo para fritar
aves,45MIN,30 porções,1 copo de oleo 3 ovos 3 xicaras de farinha de trigo 1 caldo de galinha 1 copo de leite 1 colher sopa de fermento 1 peito de frango seara 1 lata de milho 1 lata de ervilha queijo ralado cheiro verde e tempero a gosto
peixes-e-frutos-do-mar,50MIN,4 porções,1 pacote de camarao de 400g ou 250 g descascado 1 lata de creme de leite 1 vidro pequeno de champignon 1 colher de cha farinha de trigo alho cebola sal ou de sua preferencia limao 6 colheres de sopa de catchup 1 colher de sopa mostarda
massas,120MIN,3 porções,1 kg de trigo 2 ovos 1 colher sopa de sal 6 colheres de acucar 2 copos 250 ml de leite morno 3 colheres sopa rasa de fermento granulado para pao 1/2 copo de oleo
doces-e-sobremesas,30MIN,10 porções,1 lata de leite condensado 3 gemas 2 latas de leite 3 colheres de maizena gelatina de qualquer sabor 1 creme de leite sem o soro 7 colheres de acucar
bolos-e-tortas-doces,40MIN,8 porções,1 pacote de bolacha maisena 1/2 copo de leite 1 colher sobremesa da chocolate em po 1 lata de leite condensado 1 lata de leite de vaca use a medida da lata de leite condensado 1 colher sobremesa de amido de milho 2 gemas 1 lata de leite condensado 1 lata de leite de vaca a medida da lata de leite condensado 1 colher sobremesa de amido de milho 2 gemas 4 colheres de chocolate em po 4 claras 4 colheres de acucar 1 lata de creme de leite sem soro
carnes,40MIN,4 porções,300 g de macarrao para yakisoba 1 cebola grande picada em pedacos medios 1 colher sopa de oleo 1/2 maco pequeno de brocolis 1/2 maco pequeno de couve-flor 250 ml de molho para yakissoba 6 colheres sopa de molho shoyu 400 g de tirinhas de carne mignon patinho ou alcatra 100 g de champignon 1 cenoura cortada em diagonal 4 folhas de acelga cortadas em diagonal
aves,60MIN,10 porções,2 peitos de frango picados e sem osso 1 lata de creme de leite fresco 3 colheres de massa de tomate sal a gosto pimenta a gosto 1 colher de mostarda 1 colher de ketchup
peixes-e-frutos-do-mar,150MIN,6 porções,1/2 kg de frango 1 kg de polvo 1 kg de lula 2 kg de mexilhao 1/2 kg de camarao medio 1/2 kg de arroz parboilizado 2 unidades de cabeca de alho grande 3 unidades de tomate para molho 1 unidade de pimentao amarelo acafrao e sal a gosto 6 unidades de camarao grande ou lagostim grande 6 unidades de mexilhao com casca 1 unidade de pimentao vermelho 1 unidade de tomate
massas,60MIN,4 porções,1 pacote de massa de pastel 300 g de mussarela 300 g de presunto 250 g de requeijao cremoso 1 lata 350 g de massa de tomate 2 caixas de creme de leite 400 g alho cebola oregano sal
doces-e-sobremesas,15MIN,15 porções,1 caixa de gelatina de morango 1 lata de creme de leite 1 lata de leite condensado 500 g de morangos
bolos-e-tortas-doces,45MIN,13 porções,4 ovos 2 xicaras de acucar 1/2 xicara de oleo 1 xicara de trigo 1 xicara de fuba 1 xicara de leite 1 pitada de sal 1 colher de fermento royal
carnes,40MIN,8 porções,1 kg de carne  alcatra mignon  etc 1/2 cebola picadinha 1 lata de molho de tomate pronto 1 caixinha de creme de leite 1/2 pacote de creme de cebola 1 colher de sopa de catchup 1 colher de sobremesa de mostarda molho shoyu vinho branco seco 1 vidro de champignon em laminas oleo sal a gosto
aves,50MIN,8 porções,1 peito de frango grande cozido com temperos a gosto e desfiado 3 colheres de sopa de azeite 1 cebola picadinha 2 dentes de alho amassados 1 lata de milho verde 1 copo de requeijao ou 1 caixinha de creme de leite 1 xicara de cha do caldo do cozimento 1 colher de sopa de amido de milho queijo parmesao ralado para polvilhar
peixes-e-frutos-do-mar,40MIN,0 porções,1 kg peito de frango cortado em cubinhos sal a gosto 3 colheres sopa de oleo 3 dentes de alho amassados 1 cebola grande picada 4 tomates bem maduros sem pele picados 1 kg mandioca cozida picada 1 xicara de caldo do cozimento do frango 1 garrafinha leite de coco 200 ml 2 colheres sopa de azeite de dende molho de pimenta a gosto 1/2 xicara de coentro picado
massas,90MIN,8 porções,500 ml de agua morna 1 e 1/2 kg de farinha de trigo 1 copo americano de oleo 3 colheres de sopa de acucar 1 colher de sopa rasa de sal 50 g de fermento de padaria ou 2 tabletes de fermento de mercado
doces-e-sobremesas,15MIN,8 porções,1 lata de leite condensado 1 lata de creme de leite 1copo de leite gelado 1 pacote de tang suco tang
bolos-e-tortas-doces,60MIN,12 porções,3 ovos 1 xicara cha de oleo 1 xicara cha de leite 1 xicara cha de fuba 1 xicara cha de farinha de trigo 1 xicara cha de acucar 1 colher sopa de fermento em po goiabada em cubos
carnes,30MIN,4 porções,1/2 kg de barriga picada em pedacos sal a gosto cerca de 1/2 litro de oleo o suficiente para cobrir a carne
aves,60MIN,10 porções,1 peito de frango grande desfiado 1 copo de requeijao cremoso 1 caixa de creme de leite 1 copo 200ml de leite 1 colher de cafe de sal 2 colheres de sopa de margarina 2 colheres de sopa de farinha de trigo 1 lata de milho em conserva 100 g de presunto 350 g de musarela 1 pacte de 200g de batata palha
peixes-e-frutos-do-mar,15MIN,2 porções,200 g de camarao pequeno sem casca 2 colheres sopa de azeite de oliva 2 dentes de alho amassados 1/2 cebola grande picada 2 colheres de molho shoyu sal a gosto pimenta-do-reino a gosto salsa a gosto queijo parmesao fresco ralado a gosto
massas,100MIN,18 porções,1 colher de azeite de oliva 500 g de carne moida patinho 1 cebola picada 2 tomates picados oregano a gosto 1 caldo de carne 2 colheres de extrato de tomate sal a gosto 1 lata de milho verde 200 g de azeitonas picadas 500 ml de leite 1 colher de manteiga 2 colheres de maisena 2 caldos de carne 1 lata de creme de leite 500 g de mussarela fatiada 400 g de presunto fatiado massa para lasanha 500 g
doces-e-sobremesas,40MIN,10 porções,2 pacotes de biscoitos maizena 1 lata de creme de leite 1 lata de leite condensado 2 medidas da lata de leite de vaca 1 colher e 1/2 de sopa de cremogema 1 colher de sopa de manteiga 1 gema de ovo peneirada
bolos-e-tortas-doces,45MIN,16 porções,2 ovos 1 lata de milho verde com a agua da conserva 1/2 xicara de oleo 1/2 xicara de leite 1/2 colher de sopa de margarina 1 xicara de fuba 1 xicara de acucar 1 colher de maisena 1 colher de fermento em po
carnes,120MIN,6 porções,2 kg de lombo magro 1 garrafa de suco concentrado de maracuja 1 litro de agua filtrada 2 xicaras de acucar cristal 1 cebola grande 1 colher de sopa de manteiga sal
aves,60MIN,4 porções,4 files de frango 6 dentes de alho 1 limao tempero pronto para aves opcional 100 g de bacon 1 pimentao vermelho grande 1 cebola media 1 tomate grande 250 ml de caldo de galinha 4 colheres de azeite pimenta calabresa sal linha para culinaria
peixes-e-frutos-do-mar,50MIN,8 porções,1 kg de bacalhau dessalgado 700 g de batatas cozidas e passadas no espremedor 1 lata de creme de leite 2 cebolas grandes cortadas em rodelas 1 pote de azeitona sem caroco 1/2 xicara de azeite manteiga pra untar
massas,60MIN,8 porções,1 kg de peito de frango 1 pacote de macarrao para lasanha 3 gemas 300 g de presunto fatiado 300 g de mussarela fatiada 2 xicaras de cha de leite 1 caixinha de creme de leite 4 colheres de sopa de farinha de trigo queijo ralado opcional
doces-e-sobremesas,15MIN,16 porções,1 baguete de pao frances ou 4 paes franceses 2 xicaras de leite 1 lata de leite condensado 3 ovos batidos 1 pitada de canela canela a gosto acucar a gosto oleo de girassol para fritar
bolos-e-tortas-doces,50MIN,12 porções,1 xicara cha de acucar 1 xicara cha de aveia em flocos 1 xicara cha de farinha de trigo 1 xicara cha de chocolate em po 1 colher sopa de canela em po 4 ovos 1/2 xicara cha de margarina 1/2 xicara cha de leite 1 colher sopa de fermento em po 1 pitada de noz-moscada
carnes,45MIN,5 porções,1 kg de costela em pedacos 2 ou 3 cebolas 2 ou 3 batatas 3 cubos de caldo de carne ou costela
aves,40MIN,12 porções,2 copos de leite 2 copos de farinha de trigo 1 copo de oleo de soja 100 g de queijo ralado 1 colher sopa de fermento quimico em po 2 unidades de ovo 1 caixinha de creme de leite 1 unidade de peito de frango seara desossado desfiado 1 caixinha de requeijao culinario 1 caixinha de creme de leite
peixes-e-frutos-do-mar,60MIN,4 porções,1 moranga de aproximadamente 2 quilos meia xicara cha de agua 2 cubos de caldo de bacalhau knorr 1 embalagem de polpa de tomate pomodoro 260 g vidro pequeno de leite de coco 200 ml 300 g de file de peixe picado
massas,80MIN,10 porções,3 xicaras de farinha de trigo aproximadamente 1 colher de sopa cheia de fermento biologico instantaneo 10g 3 colheres de sopa de manteiga em temperatura ambiente 2 colheres de sopa rasas de acucar 2 ovos batidos ligeiramente 1 colherinha de sal  1/2 xicara de agua em temperatura ambiente para folhar a massa 100g de manteiga em temperatura ambiente 1 colher de sopa de farinha de trigo complemento 1 ovo batido para pincelar
doces-e-sobremesas,45MIN,6 porções,2 xicaras de acucar 5 bananas nanicas 1 lata de leite condensado a mesma medida de leite 1 colher sopa de amido de milho 3 gemas 3 claras 6 colheres sopa de acucar
bolos-e-tortas-doces,40MIN,8 porções,1 caixa de morangos 2 latas de leite condensado 2 lata de creme de leite 200 g de chocolate ao leite 2 colheres sopa de margarina ou manteiga
carnes,30MIN,5 porções,1 kg de pernil 6 cebolas grandes 4 caldo de carne 1 colher de coentro 1/2 copo de agua
